id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
159,CH_Balance,2030,10,13,18,9.108
160,CH_Balance,2030,10,19,24,9.108
161,CY_Balance,2030,1,1,6,12.647037675053962
162,CY_Balance,2030,1,7,12,5.6286000000000005
163,CY_Balance,2030,1,13,18,5.6286000000000005
164,CY_Balance,2030,1,19,24,21.526498535809708
165,CY_Balance,2030,2,1,6,0.0
166,CY_Balance,2030,2,7,12,0.0
167,CY_Balance,2030,2,13,18,0.0
168,CY_Balance,2030,2,19,24,0.0
169,CY_Balance,2030,3,1,6,5.742
170,CY_Balance,2030,3,7,12,8.873999999999999
171,CY_Balance,2030,3,13,18,5.742
172,CY_Balance,2030,3,19,24,8.873999999999999
173,CY_Balance,2030,4,1,6,0.0
174,CY_Balance,2030,4,7,12,0.0
175,CY_Balance,2030,4,13,18,2.4426
176,CY_Balance,2030,4,19,24,2.4426
177,CY_Balance,2030,5,1,6,4.570200329141243
178,CY_Balance,2030,5,7,12,0.0
179,CY_Balance,2030,5,13,18,5.5224
180,CY_Balance,2030,5,19,24,5.5224
181,CY_Balance,2030,6,1,6,1.9116
182,CY_Balance,2030,6,7,12,0.0
183,CY_Balance,2030,6,13,18,0.0
184,CY_Balance,2030,6,19,24,1.9116
185,CY_Balance,2030,7,1,6,3.9294000000000002
186,CY_Balance,2030,7,7,12,0.0
187,CY_Balance,2030,7,13,18,3.9294000000000002
188,CY_Balance,2030,7,19,24,7.3260000000000005
189,CY_Balance,2030,8,1,6,3.2922000000000002
190,CY_Balance,2030,8,7,12,2.8108712831216636
191,CY_Balance,2030,8,13,18,0.0
192,CY_Balance,2030,8,19,24,3.2922000000000002
193,CY_Balance,2030,9,1,6,31.040026175444503
194,CY_Balance,2030,9,7,12,11.521284699853965
195,CY_Balance,2030,9,13,18,5.996633361890307
196,CY_Balance,2030,9,19,24,8.514000000000001
197,CY_Balance,2030,10,1,6,4.8852
198,CY_Balance,2030,10,7,12,4.8852
199,CY_Balance,2030,10,13,18,4.8852
200,CY_Balance,2030,10,19,24,9.108
201,CZ_Balance,2030,1,1,6,10.494
202,CZ_Balance,2030,1,7,12,10.494
203,CZ_Balance,2030,1,13,18,9.382708795455635
204,CZ_Balance,2030,1,19,24,10.494
205,CZ_Balance,2030,2,1,6,0.0
206,CZ_Balance,2030,2,7,12,0.0
207,CZ_Balance,2030,2,13,18,0.4222622807460592
208,CZ_Balance,2030,2,19,24,0.0
209,CZ_Balance,2030,3,1,6,0.8874175709399124
210,CZ_Balance,2030,3,7,12,3.0798
211,CZ_Balance,2030,3,13,18,10.38419429567304
212,CZ_Balance,2030,3,19,24,3.0798
213,CZ_Balance,2030,4,1,6,2.4426
214,CZ_Balance,2030,4,7,12,2.4426
215,CZ_Balance,2030,4,13,18,2.4426
216,CZ_Balance,2030,4,19,24,2.4426
217,CZ_Balance,2030,5,1,6,0.0
218,CZ_Balance,2030,5,7,12,0.0
219,CZ_Balance,2030,5,13,18,0.0
220,CZ_Balance,2030,5,19,24,0.0
221,CZ_Balance,2030,6,1,6,1.9116
222,CZ_Balance,2030,6,7,12,1.9116
223,CZ_Balance,2030,6,13,18,0.0
224,CZ_Balance,2030,6,19,24,1.9116
225,CZ_Balance,2030,7,1,6,3.9294000000000002
226,CZ_Balance,2030,7,7,12,3.9294000000000002
227,CZ_Balance,2030,7,13,18,3.9294000000000002
228,CZ_Balance,2030,7,19,24,7.3260000000000005
229,CZ_Balance,2030,8,1,6,0.0
230,CZ_Balance,2030,8,7,12,0.0
231,CZ_Balance,2030,8,13,18,0.0
232,CZ_Balance,2030,8,19,24,3.2922000000000002
233,CZ_Balance,2030,9,1,6,0.0
234,CZ_Balance,2030,9,7,12,0.0
235,CZ_Balance,2030,9,13,18,0.0
236,CZ_Balance,2030,9,19,24,4.5666
237,CZ_Balance,2030,10,1,6,6.076043996973903
238,CZ_Balance,2030,10,7,12,26.686562737789092
239,CZ_Balance,2030,10,13,18,26.945725025456483
240,CZ_Balance,2030,10,19,24,9.108
241,DE_Balance,2030,1,1,6,5.6286000000000005
242,DE_Balance,2030,1,7,12,10.494
243,DE_Balance,2030,1,13,18,5.6286000000000005
244,DE_Balance,2030,1,19,24,10.494
245,DE_Balance,2030,2,1,6,3.5046
246,DE_Balance,2030,2,7,12,8.740803194443131
247,DE_Balance,2030,2,13,18,3.5046
248,DE_Balance,2030,2,19,24,3.5046
249,DE_Balance,2030,3,1,6,0.0
250,DE_Balance,2030,3,7,12,0.0
251,DE_Balance,2030,3,13,18,3.0798
252,DE_Balance,2030,3,19,24,0.0
253,DE_Balance,2030,4,1,6,2.4426
254,DE_Balance,2030,4,7,12,2.4426
255,DE_Balance,2030,4,13,18,2.4426
256,DE_Balance,2030,4,19,24,2.4426
257,DE_Balance,2030,5,1,6,0.0
258,DE_Balance,2030,5,7,12,0.0
259,DE_Balance,2030,5,13,18,0.0
260,DE_Balance,2030,5,19,24,0.0
261,DE_Balance,2030,6,1,6,1.9116
262,DE_Balance,2030,6,7,12,1.9116
263,DE_Balance,2030,6,13,18,0.0
264,DE_Balance,2030,6,19,24,1.9116
265,DE_Balance,2030,7,1,6,3.9294000000000002
266,DE_Balance,2030,7,7,12,3.9294000000000002
267,DE_Balance,2030,7,13,18,3.9294000000000002
268,DE_Balance,2030,7,19,24,7.3260000000000005
269,DE_Balance,2030,8,1,6,0.0
270,DE_Balance,2030,8,7,12,0.0
271,DE_Balance,2030,8,13,18,0.0
272,DE_Balance,2030,8,19,24,0.0
273,DE_Balance,2030,9,1,6,0.0
274,DE_Balance,2030,9,7,12,0.0
275,DE_Balance,2030,9,13,18,0.0
276,DE_Balance,2030,9,19,24,4.5666
277,DE_Balance,2030,10,1,6,6.076043996973903
278,DE_Balance,2030,10,7,12,26.686562737789092
279,DE_Balance,2030,10,13,18,26.945725025456483
280,DE_Balance,2030,10,19,24,9.108
281,DK_Balance,2030,1,1,6,5.6286000000000005
282,DK_Balance,2030,1,7,12,12.83065972175393
283,DK_Balance,2030,1,13,18,9.382708795455635
284,DK_Balance,2030,1,19,24,10.494
285,DK_Balance,2030,2,1,6,0.0
286,DK_Balance,2030,2,7,12,0.0
287,DK_Balance,2030,2,13,18,3.5046
288,DK_Balance,2030,2,19,24,0.0
289,DK_Balance,2030,3,1,6,0.0
290,DK_Balance,2030,3,7,12,0.0
291,DK_Balance,2030,3,13,18,0.0
292,DK_Balance,2030,3,19,24,0.0
293,DK_Balance,2030,4,1,6,0.0
294,DK_Balance,2030,4,7,12,2.4426
295,DK_Balance,2030,4,13,18,2.4426
296,DK_Balance,2030,4,19,24,0.0
297,DK_Balance,2030,5,1,6,0.0
298,DK_Balance,2030,5,7,12,0.0
299,DK_Balance,2030,5,13,18,0.0
300,DK_Balance,2030,5,19,24,0.0
301,DK_Balance,2030,6,1,6,1.9116
302,DK_Balance,2030,6,7,12,1.9116
303,DK_Balance,2030,6,13,18,0.0
304,DK_Balance,2030,6,19,24,1.9116
305,DK_Balance,2030,7,1,6,0.0
306,DK_Balance,2030,7,7,12,0.773491116835376
307,DK_Balance,2030,7,13,18,3.9294000000000002
308,DK_Balance,2030,7,19,24,7.3260000000000005
309,DK_Balance,2030,8,1,6,0.0
310,DK_Balance,2030,8,7,12,0.0
311,DK_Balance,2030,8,13,18,0.0
312,DK_Balance,2030,8,19,24,0.0
313,DK_Balance,2030,9,1,6,0.0
314,DK_Balance,2030,9,7,12,0.0
315,DK_Balance,2030,9,13,18,0.0
316,DK_Balance,2030,9,19,24,0.0
317,DK_Balance,2030,10,1,6,6.076043996973903
318,DK_Balance,2030,10,7,12,26.686562737789092
319,DK_Balance,2030,10,13,18,26.945725025456483
320,DK_Balance,2030,10,19,24,9.108
321,EE_Balance,2030,1,1,6,10.494
322,EE_Balance,2030,1,7,12,12.83065972175393
323,EE_Balance,2030,1,13,18,9.866821002504317
324,EE_Balance,2030,1,19,24,16.79557721615487
325,EE_Balance,2030,2,1,6,0.0
326,EE_Balance,2030,2,7,12,0.0
327,EE_Balance,2030,2,13,18,3.5046
328,EE_Balance,2030,2,19,24,0.0
329,EE_Balance,2030,3,1,6,0.0
330,EE_Balance,2030,3,7,12,0.0
331,EE_Balance,2030,3,13,18,0.0
332,EE_Balance,2030,3,19,24,0.0
333,EE_Balance,2030,4,1,6,2.4426
334,EE_Balance,2030,4,7,12,2.4426
335,EE_Balance,2030,4,13,18,2.4426
336,EE_Balance,2030,4,19,24,2.4426
337,EE_Balance,2030,5,1,6,0.0
338,EE_Balance,2030,5,7,12,0.0
339,EE_Balance,2030,5,13,18,0.0
340,EE_Balance,2030,5,19,24,0.0
341,EE_Balance,2030,6,1,6,1.9116
342,EE_Balance,2030,6,7,12,1.9116
343,EE_Balance,2030,6,13,18,0.0
344,EE_Balance,2030,6,19,24,1.9116
345,EE_Balance,2030,7,1,6,0.36396977404132613
346,EE_Balance,2030,7,7,12,0.0
347,EE_Balance,2030,7,13,18,0.0
348,EE_Balance,2030,7,19,24,6.628541997346106
349,EE_Balance,2030,8,1,6,0.0
350,EE_Balance,2030,8,7,12,0.0
351,EE_Balance,2030,8,13,18,0.0
352,EE_Balance,2030,8,19,24,0.0
353,EE_Balance,2030,9,1,6,7.770895123577717
354,EE_Balance,2030,9,7,12,8.775601917617479
355,EE_Balance,2030,9,13,18,14.610023594977996
356,EE_Balance,2030,9,19,24,4.5666
357,EE_Balance,2030,10,1,6,4.8852
358,EE_Balance,2030,10,7,12,9.108
359,EE_Balance,2030,10,13,18,26.945725025456483
360,EE_Balance,2030,10,19,24,9.108
361,ES_Balance,2030,1,1,6,5.6286000000000005
362,ES_Balance,2030,1,7,12,16.218
363,ES_Balance,2030,1,13,18,5.6286000000000005
364,ES_Balance,2030,1,19,24,5.6286000000000005
365,ES_Balance,2030,2,1,6,0.0
366,ES_Balance,2030,2,7,12,3.5046
367,ES_Balance,2030,2,13,18,0.0
368,ES_Balance,2030,2,19,24,3.5046
